ISIN,COUPON,ISSUE DATE,MATURITY DATE,CLOSE PRICE - 10,CLOSE PRICE - 11,CLOSE PRICE - 12,CLOSE PRICE - 13,CLOSE PRICE - 14,CLOSE PRICE - 17,CLOSE PRICE - 18,CLOSE PRICE - 19,CLOSE PRICE - 20,CLOSE PRICE - 21
CA135087D507,2.25%,6/30/2014,6/1/2025,102.91,102.89,102.9,103,103,102.53,102.35,102.26,102.3,102.38
CA135087E679,1.50%,7/21/2015,6/1/2026,100.12,100.17,100.13,100.2,100.2,99.7,99.57,99.43,99.45,99.65
CA135087F825,1.00%,8/3/2016,6/1/2027,97.18,97.28,97.32,97.24,97.35,96.82,96.58,96.44,96.52,96.7
CA135087H235,2.00%,8/1/2017,6/1/2028,102.4,102.48,102.38,102.56,102.56,101.8,101.47,101.41,101.45,101.82
CA135087J397,2.25%,7/27/2018,6/1/2029,104.44,104.59,104.6,104.6,104.38,103.98,103.63,103.47,103.59,104.02
CA135087K528,1.25%,10/11/2019,3/1/2025,99.64,99.67,99.61,100.39,100.39,99.25,99.12,99.11,99.1,99.26
CA135087K940,0.50%,4/3/2020,9/1/2025,96.81,96.72,96.77,96.77,96.68,96.43,96.26,96.15,96.19,96.31
CA135087L443,0.50%,10/5/2020,12/1/2030,90.21,90.36,90.25,90.28,90.05,89.59,89.29,89.2,89.25,89.79
CA135087L518,0.25%,10/9/2020,3/1/2026,95.11,95.17,95.12,95.14,95.04,94.75,94.53,94.5,94.52,94.7
CA135087L930,1.00%,4/16/2021,9/1/2026,97.66,97.7,97.67,97.54,97.64,97.24,97.02,96.96,97,97.23
CA135087M276,1.50%,4/26/2021,6/1/2031,98,98.18,98.02,98.09,97.81,97.34,96.97,96.91,96.96,97.47
CA135087M847,1.25%,10/15/2021,3/1/2027,98.41,98.48,98.4,98.44,98.31,97.96,97.7,97.66,97.69,97.94
CA135087N266,1.50%,10/25/2021,12/1/2031,97.4,97.59,97.42,97.5,97.21,96.73,96.35,96.3,96.35,96.9
CA135087VH40,9.00%,8/2/1994,6/1/2025,125.14,125.17,125.09,125.01,124.91,124.58,124.37,124.29,124.25,124.4
CA135087VW17,8.00%,5/1/1996,6/1/2027,133.3,133.37,133.3,133.22,133.06,132.6,132.28,132.17,132.16,132.5
CA135087WL43,5.75%,2/2/1998,6/1/2029,128.79,128.92,128.79,128.78,128.52,128.04,127.64,127.55,127.57,128.09
